sign	obj_n	bmi_n	len_pur_n	add1	gender	pur1	loss4	loss7	PG01
T	0.080000 	0.250000 	0.938776 	0	1	0	0	1	0
T	0.100000 	0.208333 	0.204082 	0	1	0	1	1	0
T	0.060000 	0.291667 	0.887755 	0	1	0	0	1	0
T	0.140000 	0.208333 	0.204082 	0	1	0	0	0	0
T	0.080000 	0.250000 	0.306122 	1	1	1	1	1	0
T	0.240000 	0.458333 	0.612245 	0	1	0	0	0	0
T	0.400000 	0.625000 	0.295918 	0	0	0	1	1	0
T	0.220000 	0.416667 	0.234694 	0	1	0	1	1	0
T	0.220000 	0.416667 	0.551020 	0	1	0	0	0	0
T	0.080000 	0.416667 	0.928571 	0	1	0	1	0	0
T	0.220000 	0.291667 	0.142857 	1	1	0	0	0	0
T	0.300000 	0.458333 	0.000000 	0	1	0	1	1	0
T	0.080000 	0.416667 	0.520408 	0	1	1	0	1	0
T	0.140000 	0.291667 	0.704082 	0	1	0	1	1	0
T	0.100000 	0.250000 	0.918367 	1	1	0	1	0	0
T	0.040000 	0.125000 	0.316327 	1	1	0	1	0	0
T	0.120000 	0.291667 	0.887755 	1	1	0	0	1	0
T	0.100000 	0.541667 	0.295918 	0	1	0	0	0	0
T	0.140000 	0.250000 	0.367347 	1	1	0	1	1	0
T	0.060000 	0.208333 	0.173469 	1	1	0	0	0	0
T	0.120000 	0.291667 	0.887755 	0	1	0	1	1	0
T	0.200000 	0.333333 	0.806122 	0	1	1	0	0	0
T	0.080000 	0.208333 	0.642857 	1	1	0	1	1	0
T	0.500000 	0.666667 	0.193878 	0	1	0	1	1	0
T	0.040000 	0.291667 	0.122449 	1	0	0	0	0	0
T	0.060000 	0.250000 	0.887755 	0	1	0	1	0	0
T	0.100000 	0.291667 	0.010204 	0	1	0	0	0	0
T	0.160000 	0.291667 	0.336735 	0	1	0	0	1	0
T	0.060000 	0.250000 	0.122449 	1	1	0	0	1	0
T	0.060000 	0.166667 	0.295918 	0	1	0	0	0	0
T	0.560000 	0.666667 	0.346939 	0	1	0	0	1	0
T	0.100000 	0.208333 	0.163265 	1	1	0	1	0	0
T	0.080000 	0.333333 	0.132653 	0	1	0	0	0	0
T	0.080000 	0.208333 	0.653061 	0	1	0	1	0	0
T	0.220000 	0.250000 	0.959184 	1	1	0	0	0	0
T	0.020000 	0.291667 	0.938776 	0	1	0	1	1	0
T	0.120000 	0.291667 	0.765306 	0	1	0	1	0	0
T	0.120000 	0.250000 	0.183673 	0	1	0	0	0	0
T	0.040000 	0.125000 	0.163265 	0	1	0	1	0	0
T	0.160000 	0.375000 	0.204082 	0	1	0	1	0	0
T	0.340000 	0.583333 	0.010204 	0	1	0	0	1	0
T	0.100000 	0.291667 	0.367347 	1	1	0	0	0	0
T	0.080000 	0.416667 	0.877551 	0	1	0	0	0	0
T	0.120000 	0.250000 	0.438776 	0	1	0	1	0	0
T	0.100000 	0.208333 	0.265306 	0	1	0	1	0	0
T	0.080000 	0.166667 	0.102041 	1	1	0	1	0	0
T	0.380000 	0.458333 	0.051020 	0	1	0	1	0	0
T	0.300000 	0.416667 	0.163265 	0	1	0	1	1	0
T	0.160000 	0.250000 	0.275510 	0	1	0	0	1	0
T	0.160000 	0.291667 	0.887755 	0	1	0	0	0	0
T	0.120000 	0.458333 	0.193878 	0	0	0	0	0	0
T	0.140000 	0.166667 	0.214286 	1	1	0	1	0	0
T	0.040000 	0.125000 	0.040816 	0	1	0	1	1	0
T	0.100000 	0.333333 	0.112245 	1	1	0	0	0	0
T	0.040000 	0.375000 	0.204082 	0	1	0	0	0	0
T	0.120000 	0.250000 	0.775510 	0	1	0	0	0	0
T	0.080000 	0.250000 	0.357143 	0	1	0	0	1	0
T	0.220000 	0.375000 	0.224490 	0	1	0	1	1	0
T	0.160000 	0.208333 	0.928571 	0	1	0	1	0	0
T	0.260000 	0.666667 	0.265306 	1	0	0	0	0	0
T	0.060000 	0.333333 	1.000000 	0	1	0	0	0	0
T	0.040000 	0.291667 	0.704082 	0	1	0	0	1	0
T	0.160000 	0.250000 	0.367347 	0	1	0	0	0	0
T	0.120000 	0.208333 	0.295918 	0	1	0	0	1	0
T	0.200000 	0.458333 	0.132653 	0	1	0	0	0	0
T	0.040000 	0.125000 	0.112245 	0	1	0	0	0	0
T	0.120000 	0.291667 	0.581633 	0	1	0	0	0	0
T	0.340000 	0.375000 	0.142857 	0	1	0	1	1	0
T	0.100000 	0.458333 	0.081633 	1	0	0	1	0	0
T	0.100000 	0.208333 	0.887755 	0	1	0	0	0	0
T	0.080000 	0.541667 	0.826531 	1	1	0	1	1	0
T	0.020000 	0.208333 	0.989796 	0	0	0	0	0	0
T	0.060000 	0.208333 	0.000000 	0	1	0	0	0	0
T	0.080000 	0.500000 	0.132653 	0	0	0	1	0	0
T	0.140000 	0.250000 	0.091837 	1	1	0	0	0	0
T	0.060000 	0.208333 	0.928571 	0	1	0	0	0	0
T	0.100000 	0.166667 	0.224490 	0	1	0	1	1	0
T	0.080000 	0.583333 	0.561224 	0	1	0	0	1	0
T	0.140000 	0.250000 	0.500000 	0	1	0	0	0	0
T	0.140000 	0.333333 	0.948980 	0	1	1	0	1	0
T	0.040000 	0.500000 	0.469388 	0	1	0	1	1	0
T	0.080000 	0.333333 	0.346939 	0	1	0	0	1	0
T	0.600000 	0.750000 	0.806122 	0	1	0	1	0	0
T	0.080000 	0.208333 	0.938776 	1	1	0	0	1	0
T	0.060000 	0.333333 	0.938776 	0	1	0	0	0	0
T	0.040000 	0.208333 	0.030612 	0	1	0	0	1	0
T	0.080000 	0.333333 	0.112245 	0	1	0	0	0	0
T	0.120000 	0.375000 	0.071429 	0	1	0	1	1	0
T	0.400000 	0.541667 	0.214286 	0	1	0	0	1	0
T	0.140000 	0.333333 	0.163265 	0	1	0	1	0	0
T	0.040000 	0.250000 	0.081633 	0	1	0	0	1	0
T	0.200000 	0.583333 	0.336735 	1	1	0	0	1	0
T	0.100000 	0.208333 	0.785714 	1	1	0	1	0	0
T	0.200000 	0.458333 	0.224490 	0	1	0	1	1	0
T	0.200000 	0.375000 	0.877551 	1	1	0	0	1	0
T	0.060000 	0.333333 	0.459184 	0	1	0	0	1	0
T	0.100000 	0.291667 	0.938776 	0	1	0	1	0	0
T	0.040000 	0.166667 	0.142857 	1	1	0	0	0	0
T	0.020000 	0.291667 	0.653061 	0	1	0	0	0	0
T	0.180000 	0.375000 	0.632653 	0	1	0	0	1	0
T	0.100000 	0.333333 	0.887755 	0	1	0	0	0	0
T	0.160000 	0.416667 	0.224490 	0	0	0	1	0	0
T	0.240000 	0.375000 	0.224490 	0	1	0	0	1	0
T	0.100000 	0.333333 	0.785714 	1	1	0	1	1	0
T	0.200000 	0.458333 	0.816327 	1	1	0	0	0	0
P	0.080000 	0.416667 	0.132653 	0	1	0	1	1	1
P	0.200000 	0.375000 	0.367347 	0	1	0	0	0	1
P	0.120000 	0.416667 	0.500000 	0	1	1	0	0	1
P	0.020000 	0.416667 	0.285714 	0	1	0	0	1	1
P	0.080000 	0.291667 	0.224490 	1	1	0	0	0	1
P	0.040000 	0.333333 	0.132653 	0	1	0	0	1	1
P	0.080000 	0.458333 	0.061224 	0	1	0	1	1	1
P	0.120000 	0.375000 	0.224490 	0	1	0	1	0	1
P	0.080000 	0.416667 	0.346939 	0	1	0	1	1	1
P	0.080000 	0.291667 	0.224490 	0	1	0	0	0	1
P	0.060000 	0.208333 	0.020408 	0	1	0	0	0	1
P	0.240000 	0.416667 	0.775510 	0	1	0	1	1	1
P	0.080000 	0.208333 	0.142857 	1	1	0	1	1	1
P	0.080000 	0.416667 	0.091837 	1	1	1	0	0	1
P	0.120000 	0.500000 	0.030612 	0	1	0	1	1	1
P	0.080000 	0.333333 	0.132653 	0	1	0	1	1	1
P	0.120000 	0.250000 	0.928571 	0	1	0	1	0	1
P	0.080000 	0.416667 	0.091837 	1	1	0	0	1	1
P	0.240000 	0.333333 	0.132653 	0	1	0	0	1	1
P	0.120000 	0.541667 	0.132653 	0	1	0	0	1	1
P	0.060000 	0.375000 	0.091837 	0	1	0	1	0	1
P	0.080000 	0.333333 	0.224490 	0	1	0	0	1	1
P	0.040000 	0.375000 	0.295918 	0	1	0	0	0	1
P	0.060000 	0.208333 	0.214286 	1	1	0	0	0	1
P	0.060000 	0.416667 	0.112245 	0	1	0	1	1	1
P	0.260000 	0.458333 	0.183673 	0	1	0	0	1	1
P	0.120000 	0.291667 	0.204082 	1	1	0	0	1	1
P	0.260000 	0.416667 	0.112245 	1	0	0	0	1	1
P	0.060000 	0.250000 	0.000000 	1	1	0	0	1	1
P	0.080000 	0.333333 	0.000000 	0	1	0	1	1	1
P	0.080000 	0.458333 	0.000000 	1	1	0	0	1	1
P	0.080000 	0.291667 	0.102041 	0	1	0	0	1	1
P	0.060000 	0.166667 	0.153061 	0	1	0	0	1	1
P	0.080000 	0.333333 	0.295918 	0	1	0	0	1	1
P	0.020000 	0.333333 	0.275510 	0	1	0	0	1	1
P	0.260000 	0.458333 	0.683673 	0	1	1	1	1	1
P	0.260000 	0.416667 	0.408163 	0	1	1	0	0	1
P	0.020000 	0.416667 	0.387755 	0	1	0	0	0	1
P	0.280000 	0.583333 	0.010204 	1	1	0	0	1	1
P	0.080000 	0.375000 	0.020408 	0	1	0	1	0	1
P	0.020000 	0.416667 	0.387755 	0	1	0	0	0	1
P	0.060000 	0.291667 	0.285714 	0	1	0	0	1	1
P	0.020000 	0.291667 	0.295918 	0	1	0	0	1	1
P	0.060000 	0.583333 	0.785714 	0	1	0	0	1	1
P	0.100000 	0.291667 	0.010204 	0	1	0	0	0	1
P	0.080000 	0.375000 	0.000000 	1	1	0	0	1	1
P	0.160000 	0.416667 	0.642857 	0	1	0	1	1	1
P	0.360000 	0.708333 	0.918367 	0	1	0	0	1	1
P	0.060000 	0.333333 	0.091837 	0	1	0	0	0	1
P	0.080000 	0.416667 	0.357143 	0	1	1	0	1	1
P	0.080000 	0.500000 	0.081633 	0	1	0	0	1	1
P	0.060000 	0.333333 	0.081633 	0	1	0	1	1	1
P	0.080000 	0.416667 	0.173469 	0	1	1	1	1	1
